Points:
0,18
1,13
19,4
5,5
11,13
10,19
4,19
17,5
15,3
12,0
1,18
19,12
1,6
12,12
5,11
14,5
3,17
11,19
1,4
1,16
4,19
15,19
15,0
8,13
18,19
20,10
9,19
4,12
13,12
0,20
16,9
0,8
16,2
16,4
12,15
0,0
11,16
19,10
17,6
17,9
16,6
5,1
19,20
4,19
11,14
0,15
11,2
18,12
16,14
13,0
16,6
14,7
2,9
18,9
11,5
16,20
10,7
20,17
1,6
5,0
2,0
14,4
13,5
20,10
10,17
18,13
12,2
9,19
5,0
2,1
2,19
7,19
14,19
1,5
4,17
12,11
6,20
2,16
1,2
2,11
18,1
0,0
10,6
0,9
19,5
16,13
20,20
9,16
2,13
10,17
20,19
8,18
7,12
17,3
20,4
16,18
17,9
3,0
1,2
18,17

Centroids:
16,14
0,15
18,10
20,5
13,12
19,15
14,15
5,6
18,1
7,18
